"Title","Make/Model","Location","Date Posted","Description","Price","Kilometres","Drivetrain","Listing URL","Notes"
"2008 Toyota RAV4- 237,000kms- 4WD","Toyota RAV4","Calgary, AB","Aug 18, 2026","Reliable 4WD RAV4, well-maintained and ready for its next owner. Upgrading, so it's time for this one to go to a good home.

Carfax available.

Vehicle Details
* 2008 Toyota RAV4 Base, 4-cylinder
* Automatic transmission, 4WD
* 237,000 km
* Black exterior, cloth interior
* 4-door

Maintenance History
* Suspension done at ~146,000 km
* Transmission fluid changed at ~185,000
* Rear brakes replaced at ~185,000km
* Transfer case serviced at ~230,000 km

Condition
* Active status
* Minor rust and some scratching around the vehicle, including light scratching on the rear passenger side
* Running on Uniroyal Tiger Paw all-season tires (used)

Features
* A/C
* Power windows/locks
* CD player/stereo
* Cruise control
* Roof rails

Solid, dependable 4WD RAV4 — great for Calgary winters. Serious inquiries only, message for more info or to arrange a viewing.

Will not respond to is this still available","CA$8,999","237,000 km","4WD","https://www.facebook.com/marketplace/item/1896437465094795/","Detailed maintenance history"
"2008 Toyota rav4 limited","Toyota RAV4","Calgary, AB","Aug 13, 2026","2008 Toyota RAV4 Limited AWD
$9,800 | Calgary, AB
• 219,000 km
• 2.4L 4-cylinder engine
• Automatic transmission
• AWD / 4WD
• Limited trim
• Leather interior
• Heated seats
• Power windows and locks
• Air conditioning
• Cruise control
• Spacious cargo area
• Runs and drives well
• Mechanical inspection completed
Minor hail damage on the body, reflected in the price.
No issues with the car. Drives well.
Message to arrange a viewing or test drive.","CA$9,800","219,000 km","AWD","https://www.facebook.com/marketplace/item/1043309938553231/","Minor hail damage"
"2009 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 16, 2026","2009 Toyota RAV4 V6 – Rebuilt Status
2009 Toyota RAV4 V6 in good running condition. Reliable and spacious SUV with a powerful V6 engine. The vehicle has a rebuilt status.
Details:
* 2009 Toyota RAV4
* V6 engine
* Automatic transmission
* White exterior
* Rebuilt status
* Spacious SUV
* Clean interior
* Drives well
* Comes with extra winter tires
Serious buyers are welcome to come and see the vehicle. Message me for more information or to arrange a viewing.","CA$8,000","240,000 km","Not stated","https://www.facebook.com/marketplace/item/1368763704802894/","Rebuilt status"
"2009 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 20, 2026","Good shape 2 sets of tires runs and drives great. Everything works heated seats .$8000.00 OBO","CA$9,000","195,000 km","Not stated","https://www.facebook.com/marketplace/item/1693274281788221/","Minimal description"
"2009 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 20, 2026","(No seller description provided on the listing.)","CA$9,000","232,000 km","Not stated","https://www.facebook.com/marketplace/item/1757368871946034/","Listing has no description text; 2 owners, grey/grey, gasoline, automatic"
"2009 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 17, 2026","2009 toyota rav4 awd drive
It has 217000km
2.5L engine size
Bought it last year all the services are up to date
New serpentine belt
Rear diff and transfer case service 2 months ago
New breaks
Oil change done every 5000kms
Transmission oil change 2 months ago
It has little rust it is common due to this car age
New spark plug
New all season tires
Always parked in basement
No hail
Active status","CA$8,500","217,000 km","AWD","https://www.facebook.com/marketplace/item/1700092534399859/","Recent diff/transfer case service; no hail"
"2009 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 16, 2026","Price negotiable
Serious buyers only dm","CA$8,500","207,342 km","Not stated","https://www.facebook.com/marketplace/item/911825661475264/","Minimal description"
"2009 Toyota Rav4 SUV all wheel drive","Toyota RAV4","Calgary, AB","Aug 18, 2026","Reliable and fuel-efficient Toyota RAV4 that runs and drives great with no mechanical issues. Well maintained and ready for daily driving.
Features:
• Automatic transmission
• Power windows, locks & mirrors
• Cruise control
• Air conditioning
• Keyless entry
• ABS, traction & stability control
• Spacious cargo area
• Folding rear seats
Recent Service (Feb 9, 2026):
✓ 4 brand-new tires mounted & balanced
✓ Front shocks replaced
✓ Rear wheel bearings/hubs replaced
✓ Differential fluid serviced/flushed
✓ Rear differential serviced
✓ Driveshaft inspected
✓ Alignment checked
Rebuilt Status due to a front-right collision (see last photo). Repairs completed and vehicle runs and drives excellent.
Clean, reliable SUV with lots of life left. Message for more information or to book a test drive.","CA$10,500","218,000 km","AWD","https://www.facebook.com/marketplace/item/2047285462845833/","Rebuilt status; extensive recent service"
"2010 Toyota RAV4 (Limited)","Toyota RAV4","Calgary, AB","Aug 13, 2026","rebuilt title
Selling my 2010 Toyota RAV4 Limited with 127,000 KM. This SUV has been well cared for and is a great option for someone looking for a reliable daily driver, winter vehicle, or family SUV.
✅ Limited Package
✅ AWD — Great for Alberta winters
✅ blue exterior
✅ Spacious interior with plenty of cargo room
✅ Toyota reliability and low maintenance costs
Runs and drives great.
Clean, practical, and ready to go.
📍Located in Calgary
Serious inquiries only message for more details or to come take a look.","CA$12,000","127,000 km","AWD","https://www.facebook.com/marketplace/item/1717172042842366/","Rebuilt title; low km"
"2010 Toyota RAV4 (Sport Edition)","Toyota RAV4","Calgary, AB","Aug 13, 2026","2010 Toyota Rav4 sport edition highly reliable with exceptional fuel economy.
Sport appearance package trim,
2.5L , 4cylinder engine. AUTOMATIC.
Brand new windshield
New brakes rotors and pads
Alloy rims with all season Michelin tires
Brand New front bearing assembly installed July 22nd
Brand new rear struts
All maintenance up today. Oil change, air filters, alignment and Active status.
This is you chance to get one rav4 to enjoy the trips and never get stuck in winter.
Price is fair due the conditions of this one owner suv ONLY for sale. No interested on trade or low balls offer.
Here is the clean carfax for u to review: https://vhr.carfax.ca/en-ca/?id=IDsdz37ZmEi9ltjdBr6HZ7vKJDrc880h","CA$12,500","177,800 km","Not stated","https://www.facebook.com/marketplace/item/1833681761132640/","One owner; clean Carfax link provided"
"2012 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 20, 2026","Currently registered in Calgary.
Drives like a sports car with upgraded suspension.
Well maintianed and wont let you down.
Tires in excellent condition both all season and winter tires.
Leaving the province so this is for a quick sale.
Cons
Cracked windshield
Airbag light
$8,250 OBO","CA$8,250","269,000 km","Not stated","https://www.facebook.com/marketplace/item/3551922981633669/","Cracked windshield; airbag light on"
"2012 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 13, 2026","2012 Toyota Rav 4, 304,000k.
New windshield
New rear brakes
New muffler and exhaust
New alternator
New battery
Set of winter tires on rims used only 1 season.","CA$9,000","303,572 km","Not stated","https://www.facebook.com/marketplace/item/2257609821660584/","Very high km (304k)"
"2013 Toyota RAV4","Toyota RAV4","Calgary, AB","Aug 13, 2026","2013 Toyota RAV4 Limited AWD
Selling my well-maintained 2013 Toyota RAV4 Limited AWD because I've upgraded to a newer RAV4 Hybrid.
This has been an incredibly reliable SUV and has never let me down. It has been regularly serviced throughout my ownership, including routine oil changes and scheduled maintenance. Everything works exactly as it should, and it's ready for its next owner.
Features
• 2.5L 4-cylinder engine
• Automatic transmission
• AWD – perfect for Alberta winters
• Push-button start (Smart Key)
• Remote start
• Heated leather seats
• Power sunroof
• Backup camera
• Bluetooth / Hands-Free
• 2 original key fobs
Condition
• Runs and drives excellent
• Engine runs smooth and quiet
• Transmission shifts perfectly
• No warning lights on the dashboard (see photo)
• Brakes and tires are in good condition
• Clean interior and exterior for its age
• Some minor cosmetic hail damage
• Regularly serviced and well maintained
• Non-smoker vehicle
• No pets","CA$10,499","287,817 km","AWD","https://www.facebook.com/marketplace/item/1447702437407372/","Well documented; minor hail"
"2012 Toyota RAV4","Toyota RAV4","Chestermere, AB","Aug 15, 2026","Selling our super reliable 2012 Toyota rav4. Car is very well taken care of. ACTIVE STATUS. Super low kms for the year and has no problems at all and has always treated us well. 0 rust on the vehicle, tires still have plenty of life. has Bluetooth Audio and calling, super good on gas as well. Needs absolutely nothing and is ready for a new owner. Please contact me if interested thanks.","CA$11,900","184,000 km","Not stated","https://www.facebook.com/marketplace/item/1793991071775455/","Chestermere (~25 km E of Calgary)"
"2008 Toyota RAV4 Sport 4WD V6","Toyota RAV4","Banff, AB","Aug 16, 2026","2008 TOYOTA RAV 4 SPORT 4WD V6
Rav is looking for a new owner. Available mid September and winter ready.
Specifics:
Has had 2 owners
Sport edition
3.5L V6 engine
5 speed automatic transmission
4WD with 4WD electronic lock button
Cruise control
Sun roof
Mileage: 217,000kms
Last service/oil change: April 2026
New tires Oct 2025 (winter - currently on vehicle, nil summer tires)
Nil accidents occurred with me or mechanical work needed since purchase in July 2025.
Current condition:
Needs no immediate mechanical services.
Some rusting underneath the car, recommended to monitor.
Hail damage to the cars body.
Car lights may need new bulbs at some point as can be dim at night.
Car fax from purchase in July 2025 available. Or welcome to have the car checked by a mechanic.
Open to offers!!
** Car will be washed and detailed prior to sale, however still being used for the next month so she's currently dusty.","CA$9,000","217,000 km","4WD","https://www.facebook.com/marketplace/item/2266109784138125/","Banff (~130 km W of Calgary); hail damage; available mid-Sept"
"2010 Toyota RAV4 Sport (V6, AWD)","Toyota RAV4","Canmore, AB","Aug 14, 2026","Located in Oromocto.
My wife and I are moving out of the country and sadly we must sell our 2010 RAV4 Sport. Comes with the V6 2GR-FE engine and AWD with 255,668km on the odometer. It has spent it's entire life in Alberta (no rust!). We drove across the country approximately 8500km (averaging 9.2l/100km) from Canmore, Alberta all the way to Corner Brook NFLD and now back to Oromocto. We purchased it from a Toyota mechanic in January of 2023 and have had no issues since. It's been very well maintained and looked after! All the maintenance done by me has been with Toyota genuine filters, parts and fluids only. I can provide a CarFax report and the service history from Toyota.
---
Quick highlights
- Alberta vehicle that is now registered and insured in NB.
- Great on gas given the engine size.
- Upgraded stereo and speakers with rear view camera installed.
- 4WD lock, DAC (Downhill Ascent Control), heated mirrors and windshield wipers, cruise control, sunroof.
-----
The ""bad"":
- Windshield being replaced this week.
- Will be having it inspected in the coming weeks.
- Rebuilt title: was rear ended in May 2022. Repaired and back on the road in July 2022. Information can be seen in the CarFax report.
-----
The good:
- Oil changed regularly at 8k to 10k KM. Most recently changed August 17th, at 255,668km.
---
All maintenance done prior to leaving Alberta at 248,000km.
- Transmission pan gasket replaced. Fluid drained and filled.
- Transfer case and rear diff fluid drained and filled.
- Sparkplugs and air filter replaced.
- Starter motor replaced with new Denso starter.
- Both rear wheel bearings replaced.
- New headlight and fog light bulbs.
-----
Other maintenance items and history.
- Audio system upgraded with Pioneer AVH-2300NEX head unit, Pioneer MAX TS-A653CH 6.5"" component speakers up front and Focal PC165 6.5"" coax speakers in the back. Head unit supports Apple CarPlay, Android Auto and of course Bluetooth.
- New radiator, AC condenser and front bumper, replaced in January 2026, with full AC system recharge. (Slow slide into a truck with trailer hitch at -30, breaking the bumper and bending the radiators.)
------
Asking $9750 OBO. Please reach out if you have any questions or wish to come check it out in person.","CA$9,750","255,668 km","AWD","https://www.facebook.com/marketplace/item/1227665942837662/","Listed under Canmore but seller says vehicle is physically in Oromocto, NB - verify before travelling. Rebuilt title. Exceptional maintenance documentation."
"2016 Toyota RAV4","Toyota RAV4","Edmonton, AB","Aug 18, 2026","Check out my 2016 Toyota rav4, reliable SUV that is very good on gas, perfect for everyday drive, everything perfect on this car except the the little accident on the trunk and that's reason the price came down, if you're interested call [hidden information].","CA$11,000","237,590 km","Not stated","https://www.facebook.com/marketplace/item/1981954392780902/","Edmonton; trunk damage"
"2010 Subaru Forester","Subaru Forester","Calgary, AB","Aug 19, 2026","Price: $9250 plus Fee and GST
FINANCING and WARRANTY available!!!
Subaru Forester 2010 , 158000 km , AWD , active status , panoramic roof , power seat , power windows , active status, heated seats , A/C , cruise control, good condition!
We are licensed dealership and have a car fax and inspection available.
Auto Pocket
North East location address:
40 Hopewell Way NE Suite #10 Calgary
Viewing by appointment only.
Contact phone number : 587~330~7773
Amvic license number: B2032210
Stock number: 1567","CA$9,250","158,000 km","AWD","https://www.facebook.com/marketplace/item/1070506245954486/","Dealer (Auto Pocket); low km for year"
"2010 Subaru Forester X Sport","Subaru Forester","Calgary, AB","Aug 19, 2026","Atlantic Auto Sales - AMVIC License Dealer
📍 Address: 1556 9th Ave SE
AMVIC License Business
____________________________________________________
Contact me for quick answers to your questions about this Subaru_Forester_X Sport_GASOLINE _ Stock ID: AT723026
_____________________________________________________
***** Subaru Forester X Sport Wagon *****
_____________________________________________________
Atlantic Auto Sales
📍 Address: 1556 9th Ave SE
____________________________________________________
Stock ID: AT723026
💥 Check Out More Of Our Great Cars On Facebook Marketplace 💥
Please check out CARFAX report on our website ~~ atlanticautosalescalgary.com~~
Year : 2010
Make : Subaru
Model : Forester
Kilometers : 218475 Kms
Body style : Wagon
Fuel type : GASOLINE","CA$7,995","218,475 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/1068974215481847/","Dealer listing"
"2011 Subaru FORESTER X CONVENIENCE","Subaru Forester","Calgary, AB","Aug 15, 2026","VEHICLE DESCRIPTION:
 . Year: 2011
 . Make: SUBARU
 . Model: FORESTER
 . Body Style: suv
 . Odometer: 175266
 . Transmission: automatic
 . Engine: 4 Cylinder
 . Engine Size: 2.5 L
 . Driveline: AWD
 . Exterior Color: White
 . Interior Color: Black
 . Doors: 4
 . Passengers: 5
 . Fuel Type: gas
 . City Fuel: 9.9
 . Hwy Fuel: 7.5
 . Stock Number: HW6439
 . VIN: JF2SHCBC2BH766439
 2011 Subaru Forester X Convenience AWD. Clean CARFAX • All-Wheel Drive • Exceptionally Maintained. Experience confidence and comfort in every season with this 2011 Subaru Forester X Convenience AWD. Known for its outstanding reliability and Subaru's legendary Symmetrical All-Wheel Drive system, this Forester is the perfect blend of practicality, safety, and refined everyday driving. Finished with a clean interior and well-kept exterior, this vehicle has been carefully maintained and comes with a Clean CARFAX for added peace of mind. Powered by Subaru's reliable 2.5L BOXER engine and smooth automatic transmission, it delivers a balanced, responsive drive with excellent year-round capability. Features Include:• Symmetrical All-Wheel Drive• Clean CARFAX – No Accident History• 2.5L BOXER Engine• Automatic Transmission• Heated Front Seats• Cruise Control• Air Conditioning• Power Windows, Locks & Mirrors• Keyless Entry• AM/FM/CD/AUX Audio System. This Forester offers the reliability and versatility Subaru is known for, making it an excellent choice for commuters, students, and families alike. Contact us today for more information or to arrange a viewing. Discover Hot Wheels Calgary , your go-to for affordable, reliable vehicles perfect for first-time buyers, families, and more. Located in Calgary, we offer flexible financing for all credit types and optional extended warranties for added peace of mind. Enjoy the convenience of nationwide delivery across Canada. At Hot Wheels Calgary, we're committed to a seamless, transparent car-buying experience with exceptional service. Drive away in style without breaking the bank! 📍 Hot Wheels Calgary – AMVIC Licensed Dealer 📞 or Text- [hidden information] JF2SHCBC2BH766439","CA$10,990","175,266 km","AWD","https://www.facebook.com/marketplace/item/1365786022433731/","Dealer; clean CARFAX, no accidents; VIN published"
"2013 Subaru Forester","Subaru Forester","Calgary, AB","Aug 18, 2026","Active Title/Forester X Limited
AWD - Automatic transmission
Mileage - 274,953 KM
Recent work done:
- New rear brake rotors installed
- New rear shocks installed
- New spark plugs and ignition coil installed
- Engine inspected, it's in good working condition
Maintenance history can be checked on Carfax.
Everything is in clean working condition. Selling because I am looking to upgrade. Runs and drives great. Scratch marks on the left side of the rear bumper.
Features:
☑️ Sun roof
☑️ Heated front seats
☑️ Front/Rear cameras
☑️ Apple CarPlay/Android Auto
☑️ Full set winter tires with wheels (Bridgestone Blizzak)
No lowball offers, please.","CA$9,000","274,953 km","AWD","https://www.facebook.com/marketplace/item/2945475825821547/","Active title; winter tires included"
"2014 Subaru Forester","Subaru Forester","Calgary, AB","Aug 16, 2026","2014 Subaru Forester – Active status!
Lots of Life Left!
Selling my 2014 Subaru Forester in good condition. This is a reliable, practical SUV with plenty of life still left in it. Great for daily commuting, road trips, and Alberta winters.
✅ Reliable Subaru AWD
✅ Spacious and comfortable interior
✅ Great cargo space
✅ Good on fuel for an SUV
✅ Smooth and dependable
✅ Well cared for
✅ Ready to drive
The vehicle has been used but is still in good overall condition for its age. It has served me well and would make a great vehicle for someone looking for an affordable, dependable SUV.
Price is $9000 OBO","CA$9,000","287,635 km","AWD","https://www.facebook.com/marketplace/item/2456738411799635/","High km (288k)"
"2015 Subaru Forester","Subaru Forester","Calgary, AB","Aug 13, 2026","‼️Hot Deal at Rj Auto Sales‼️
2015 Subaru Forester 144km 2.5l engine, AWD. Super clean car in and out, no issues, no rust, no leaks, no hail. Runs and drives perfect. Comes with all recent inspection and comes with warranty. Over 40 service Records. If your interested in viewing and test drive contact me at 403-973-6295
Comes with 1 month warranty
Rj auto sales
621 37ave Ne. T2E 2M1
Features
-Heated seats
-steering wheel controls
-Trailer hitch
-Back up camera
-power windows
-bluetooth
-awd lock
-Roof Rack
Plus much more
Mechanical inspection available
Structural inspection available
Amvic licensed facility
Carfax available
No hidden fees
Price does not include GST
Rebuilt status
Stock# H572911","CA$11,200","144,457 km","AWD","https://www.facebook.com/marketplace/item/1059577643225990/","Rebuilt status. Duplicate posting also exists (item 1045766884829232, same stock #H572911) - counted once"
"2015 Subaru Forester","Subaru Forester","Calgary, AB","Aug 13, 2026","Selling my car Forester 2015 nice car good tires","CA$9,900","244,000 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/2487816725074015/","Minimal description"
"2015 Subaru Forester","Subaru Forester","Calgary, AB","Aug 16, 2026","SUV ready for you 2015 Subaru Forster AwD with 2.0 engine was 182,000 km fully inspected Alberta registry in excellent condition 10 995 OBO trade and financing available","CA$10,995","182,000 km","AWD","https://www.facebook.com/marketplace/item/1724931345378726/",""
"2015 Subaru Forester 2.5 engine awd","Subaru Forester","Calgary, AB","Aug 13, 2026","2015 Subaru Forester. Engine: 2.5L Gas 4 Cylinders. Reliable and one of the safest AWD vehicle for Canadian winter and Snow time.
car has heated mirrors and heated seats, multifunctional steering wheel with cruise control and paddle shifters, backup camera, The interior in good overall condition. equipped with X-mode
few month ago had small accident in MB (just bumpers was cracked can provide photo) , after was shipped to Calgary, and now it's rebuilt AB. just passed inspection, just replaced brakes, all of wheel bearing","CA$9,200","203,000 km","AWD","https://www.facebook.com/marketplace/item/1696108968356034/","Rebuilt (AB). Near-identical repost also live as item 1521307932634280 at $9,300 - counted once"
